EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EmployeeCount,Gender,JobRole,MonthlyIncome,SalarySlab,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Count
RM1128,23,18-25,No,TravelRarely,Research & Development,10,Technical Degree,1,Male,Research Scientist,2073,Upto 5k,16,3,4,4,2,2,2,2.0,0
RM1202,23,18-25,Yes,TravelRarely,Research & Development,8,Medical,1,Male,Laboratory Technician,3989,Upto 5k,11,3,1,5,5,4,1,2.0,1
RM1214,23,18-25,Yes,TravelRarely,Sales,7,Life Sciences,1,Male,Sales Representative,2275,Upto 5k,21,4,2,3,3,2,0,2.0,1
RM1239,23,18-25,No,TravelRarely,Research & Development,4,Medical,1,Female,Laboratory Technician,3295,Upto 5k,13,3,3,3,3,2,1,2.0,0
RM1409,23,18-25,No,TravelRarely,Research & Development,12,Other,1,Male,Laboratory Technician,2647,Upto 5k,13,3,3,5,5,2,1,4.0,0
RM1439,23,18-25,Yes,Travel_Frequently,Sales,9,Marketing,1,Male,Sales Representative,1790,Upto 5k,19,3,1,1,1,0,1,0.0,1
RM021,24,18-25,No,Non-Travel,Research & Development,11,Other,1,Female,Manufacturing Director,4011,Upto 5k,18,3,4,5,4,2,1,3.0,0
RM035,24,18-25,Yes,TravelRarely,Research & Development,1,Medical,1,Male,Research Scientist,2293,Upto 5k,16,3,1,6,2,0,2,0.0,1
RM097,24,18-25,No,TravelRarely,Sales,3,Other,1,Female,Sales Executive,4999,Upto 5k,21,4,1,4,3,2,0,2.0,0
RM114,24,18-25,No,TravelRarely,Research & Development,18,Life Sciences,1,Male,Laboratory Technician,2774,Upto 5k,12,3,3,6,5,3,1,2.0,0
RM381,24,18-25,No,TravelRarely,Sales,10,Marketing,1,Female,Sales Executive,4260,Upto 5k,12,3,4,5,5,2,0,3.0,0
RM415,24,18-25,Yes,TravelRarely,Sales,1,Technical Degree,1,Female,Sales Representative,3202,Upto 5k,16,3,2,6,5,3,1,4.0,1
RM471,24,18-25,No,Travel_Frequently,Sales,24,Medical,1,Male,Sales Representative,2400,Upto 5k,13,3,3,3,2,2,2,1.0,0
RM475,24,18-25,No,TravelRarely,Research & Development,23,Medical,1,Male,Research Scientist,2725,Upto 5k,11,3,2,6,6,5,1,4.0,0
RM477,24,18-25,No,TravelRarely,Research & Development,17,Other,1,Male,Laboratory Technician,2127,Upto 5k,21,4,4,1,1,0,0,0.0,0
RM480,24,18-25,Yes,Travel_Frequently,Research & Development,7,Life Sciences,1,Female,Laboratory Technician,2886,Upto 5k,16,3,4,6,6,3,1,2.0,1
RM526,24,18-25,Yes,TravelRarely,Sales,3,Life Sciences,1,Female,Sales Executive,4577,Upto 5k,14,3,1,4,2,2,2,0.0,1
RM587,24,18-25,No,Non-Travel,Research & Development,9,Life Sciences,1,Male,Laboratory Technician,2694,Upto 5k,11,3,3,1,1,0,0,0.0,0
RM641,24,18-25,No,Non-Travel,Research & Development,4,Life Sciences,1,Male,Laboratory Technician,3162,Upto 5k,17,3,4,6,5,2,3,4.0,0
RM725,24,18-25,No,TravelRarely,Research & Development,17,Medical,1,Female,Manufacturing Director,4377,Upto 5k,15,3,2,5,4,2,3,2.0,0
RM842,24,18-25,No,TravelRarely,Research & Development,24,Medical,1,Male,Laboratory Technician,3597,Upto 5k,22,4,4,6,4,3,1,2.0,0
RM872,24,18-25,Yes,TravelRarely,Research & Development,17,Life Sciences,1,Female,Laboratory Technician,2210,Upto 5k,13,3,1,1,1,0,0,0.0,1
RM1026,24,18-25,No,TravelRarely,Sales,4,Medical,1,Female,Sales Executive,4162,Upto 5k,12,3,3,5,5,4,0,3.0,0
RM1061,24,18-25,Yes,Travel_Frequently,Research & Development,9,Medical,1,Male,Laboratory Technician,3172,Upto 5k,11,3,3,4,0,0,0,0.0,1
RM1062,24,18-25,No,Non-Travel,Sales,13,Life Sciences,1,Female,Sales Representative,2033,Upto 5k,13,3,3,1,1,0,0,0.0,0
RM1098,24,18-25,No,TravelRarely,Research & Development,21,Technical Degree,1,Male,Laboratory Technician,2296,Upto 5k,14,3,2,2,1,1,0,0.0,0
RM1169,24,18-25,No,Travel_Frequently,Research & Development,2,Technical Degree,1,Female,Research Scientist,3760,Upto 5k,13,3,3,6,6,3,1,3.0,0
RM1218,24,18-25,No,TravelRarely,Research & Development,9,Medical,1,Male,Research Scientist,4401,Upto 5k,16,3,4,5,5,3,0,4.0,0
RM1223,24,18-25,Yes,TravelRarely,Human Resources,22,Human Resources,1,Male,Human Resources,1555,Upto 5k,11,3,3,1,1,0,0,0.0,1
RM1231,24,18-25,No,TravelRarely,Research & Development,29,Medical,1,Male,Laboratory Technician,3907,Upto 5k,13,3,2,6,6,2,1,2.0,0
RM1246,24,18-25,No,Travel_Frequently,Human Resources,10,Medical,1,Male,Human Resources,2145,Upto 5k,14,3,4,3,2,2,2,1.0,0
RM1408,24,18-25,No,TravelRarely,Research & Development,1,Life Sciences,1,Male,Healthcare Representative,4617,Upto 5k,12,3,2,4,4,3,1,2.0,0
RM108,25,18-25,Yes,TravelRarely,Sales,5,Marketing,1,Male,Sales Executive,5744,5k-10k,11,3,4,6,6,4,0,3.0,1
RM109,25,18-25,No,TravelRarely,Research & Development,7,Medical,1,Male,Research Scientist,2889,Upto 5k,11,3,3,2,2,2,2,1.0,0
RM268,25,18-25,No,Non-Travel,Research & Development,5,Life Sciences,1,Male,Healthcare Representative,4000,Upto 5k,12,3,4,6,6,3,1,5.0,0
RM398,25,18-25,No,TravelRarely,Sales,4,Life Sciences,1,Female,Sales Executive,4487,Upto 5k,11,3,2,5,5,4,1,3.0,0
RM479,25,18-25,No,TravelRarely,Sales,13,Medical,1,Male,Sales Representative,2096,Upto 5k,11,3,3,7,7,4,0,6.0,0
RM518,25,18-25,No,TravelRarely,Sales,8,Life Sciences,1,Male,Sales Executive,4851,Upto 5k,22,4,3,4,3,2,1,2.0,0
RM564,25,18-25,No,TravelRarely,Sales,26,Medical,1,Female,Sales Executive,6180,5k-10k,23,4,2,6,6,5,1,4.0,0
RM619,25,18-25,No,TravelRarely,Research & Development,2,Medical,1,Male,Research Scientist,3424,Upto 5k,13,3,3,6,4,3,0,1.0,0
RM635,25,18-25,No,TravelRarely,Sales,3,Other,1,Male,Sales Executive,4194,Upto 5k,18,3,4,5,5,3,0,3.0,0
RM639,25,18-25,No,TravelRarely,Sales,4,Marketing,1,Male,Sales Executive,4256,Upto 5k,12,3,1,5,5,2,0,3.0,0
RM684,25,18-25,Yes,TravelRarely,Sales,19,Marketing,1,Male,Sales Representative,2413,Upto 5k,18,3,3,1,1,0,0,0.0,1
RM797,25,18-25,Yes,TravelRarely,Research & Development,4,Technical Degree,1,Male,Laboratory Technician,3691,Upto 5k,15,3,2,7,7,7,5,6.0,1
RM886,25,18-25,No,TravelRarely,Sales,10,Life Sciences,1,Male,Sales Executive,4950,Upto 5k,14,3,2,5,4,3,1,1.0,0
RM912,25,18-25,Yes,Travel_Frequently,Sales,24,Life Sciences,1,Male,Sales Representative,1118,Upto 5k,14,3,4,1,1,0,1,0.0,1
RM935,25,18-25,No,TravelRarely,Research & Development,1,Medical,1,Female,Research Scientist,2096,Upto 5k,18,3,4,2,2,2,2,1.0,0
RM966,25,18-25,No,TravelRarely,Research & Development,19,Medical,1,Male,Laboratory Technician,3669,Upto 5k,11,3,3,7,3,2,1,2.0,0
RM994,25,18-25,No,TravelRarely,Sales,18,Life Sciences,1,Male,Sales Executive,6232,5k-10k,11,3,2,6,3,2,1,2.0,0
RM1004,25,18-25,No,TravelRarely,Research & Development,1,Technical Degree,1,Male,Laboratory Technician,3229,Upto 5k,11,3,2,7,3,2,0,2.0,0
RM1022,25,18-25,Yes,TravelRarely,Sales,9,Life Sciences,1,Male,Sales Representative,4400,Upto 5k,12,3,1,6,3,2,2,2.0,1
RM1175,25,18-25,No,Travel_Frequently,Research & Development,2,Life Sciences,1,Male,Manufacturing Director,5206,5k-10k,17,3,3,7,7,7,0,7.0,0
RM1412,25,18-25,No,TravelRarely,Human Resources,2,Human Resources,1,Female,Human Resources,2187,Upto 5k,14,3,3,6,2,0,1,2.0,0
RM1414,25,18-25,No,TravelRarely,Research & Development,2,Other,1,Male,Laboratory Technician,3977,Upto 5k,19,3,3,7,2,2,0,2.0,0
RM1434,25,18-25,No,TravelRarely,Sales,8,Other,1,Female,Sales Executive,4907,Upto 5k,22,4,2,6,5,3,0,4.0,0
RM043,26,26-35,Yes,TravelRarely,Research & Development,25,Life Sciences,1,Male,Laboratory Technician,2293,Upto 5k,12,3,3,1,1,0,0,1.0,1
RM055,26,26-35,No,TravelRarely,Sales,23,Marketing,1,Female,Sales Executive,4157,Upto 5k,19,3,3,5,2,2,0,0.0,0
RM126,26,26-35,No,TravelRarely,Research & Development,6,Other,1,Female,Research Scientist,2368,Upto 5k,19,3,3,5,5,4,4,3.0,0
RM135,26,26-35,No,TravelRarely,Human Resources,25,Life Sciences,1,Female,Human Resources,2942,Upto 5k,23,4,4,8,8,7,5,7.0,0
RM279,26,26-35,No,Travel_Frequently,Research & Development,1,Life Sciences,1,Female,Manufacturing Director,6397,5k-10k,20,4,1,6,6,5,1,4.0,0
RM285,26,26-35,No,Travel_Frequently,Research & Development,11,Medical,1,Male,Healthcare Representative,4741,Upto 5k,13,3,3,5,5,3,3,3.0,0
RM289,26,26-35,Yes,TravelRarely,Research & Development,16,Medical,1,Male,Laboratory Technician,2373,Upto 5k,13,3,4,5,3,2,0,2.0,1
RM294,26,26-35,Yes,TravelRarely,Sales,4,Marketing,1,Male,Sales Executive,5828,5k-10k,12,3,2,8,8,7,7,4.0,1
RM356,26,26-35,No,TravelRarely,Sales,1,Life Sciences,1,Male,Sales Executive,5296,5k-10k,17,3,2,8,8,7,7,7.0,0
RM383,26,26-35,Yes,Travel_Frequently,Research & Development,3,Technical Degree,1,Male,Research Scientist,3102,Upto 5k,22,4,3,7,6,4,0,4.0,1
RM419,26,26-35,No,TravelRarely,Research & Development,23,Life Sciences,1,Female,Research Scientist,2886,Upto 5k,22,4,2,3,3,2,0,2.0,0
RM454,26,26-35,Yes,Travel_Frequently,Human Resources,17,Life Sciences,1,Female,Human Resources,2741,Upto 5k,11,3,2,8,7,7,1,0.0,1
RM461,26,26-35,No,TravelRarely,Sales,29,Medical,1,Male,Sales Executive,4306,Upto 5k,12,3,1,8,0,0,0,0.0,0
RM464,26,26-35,Yes,TravelRarely,Research & Development,24,Technical Degree,1,Male,Laboratory Technician,2340,Upto 5k,18,3,2,1,1,0,0,0.0,1
RM476,26,26-35,No,TravelRarely,Sales,28,Marketing,1,Male,Sales Executive,6272,5k-10k,20,4,4,6,5,3,1,4.0,0
RM506,26,26-35,No,TravelRarely,Research & Development,6,Life Sciences,1,Female,Laboratory Technician,2659,Upto 5k,13,3,3,3,3,2,0,2.0,0
RM572,26,26-35,No,Travel_Frequently,Research & Development,1,Life Sciences,1,Female,Laboratory Technician,4364,Upto 5k,14,3,1,5,2,2,2,0.0,0
RM574,26,26-35,Yes,TravelRarely,Sales,8,Technical Degree,1,Male,Sales Executive,5326,5k-10k,17,3,3,6,4,3,1,2.0,1
RM615,26,26-35,Yes,Travel_Frequently,Research & Development,5,Medical,1,Female,Research Scientist,2366,Upto 5k,14,3,1,8,8,7,1,7.0,1
RM686,26,26-35,No,Travel_Frequently,Sales,1,Medical,1,Male,Sales Executive,4294,Upto 5k,12,3,2,7,7,7,0,7.0,0
RM734,26,26-35,No,TravelRarely,Research & Development,2,Medical,1,Male,Manufacturing Director,5472,5k-10k,12,3,2,8,8,7,1,3.0,0
RM749,26,26-35,Yes,Non-Travel,Sales,29,Medical,1,Male,Sales Executive,4969,Upto 5k,18,3,4,7,2,2,2,2.0,1
RM763,26,26-35,Yes,Travel_Frequently,Research & Development,2,Life Sciences,1,Male,Research Scientist,2042,Upto 5k,14,3,2,6,3,2,1,2.0,1
RM770,26,26-35,No,Travel_Frequently,Research & Development,1,Medical,1,Female,Research Scientist,2007,Upto 5k,13,3,3,5,5,3,1,3.0,0
RM782,26,26-35,No,TravelRarely,Research & Development,1,Medical,1,Male,Laboratory Technician,3955,Upto 5k,16,3,1,6,5,3,1,3.0,0
RM798,26,26-35,Yes,TravelRarely,Research & Development,21,Medical,1,Male,Laboratory Technician,2377,Upto 5k,20,4,3,1,1,1,0,0.0,1
RM844,26,26-35,No,TravelRarely,Research & Development,3,Medical,1,Male,Laboratory Technician,4420,Upto 5k,22,4,2,8,8,7,0,7.0,0
RM913,26,26-35,No,TravelRarely,Research & Development,4,Life Sciences,1,Male,Research Scientist,2875,Upto 5k,20,4,2,8,8,5,2,2.0,0
RM999,26,26-35,No,TravelRarely,Research & Development,2,Medical,1,Male,Research Scientist,3904,Upto 5k,12,3,4,5,4,3,1,1.0,0
RM1005,26,26-35,No,TravelRarely,Research & Development,7,Other,1,Male,Laboratory Technician,3578,Upto 5k,12,3,4,8,7,7,0,7.0,0
RM1119,26,26-35,No,TravelRarely,Research & Development,3,Life Sciences,1,Female,Research Scientist,2061,Upto 5k,21,4,1,1,1,0,0,0.0,0
RM1207,26,26-35,No,Non-Travel,Research & Development,7,Medical,1,Male,Laboratory Technician,2570,Upto 5k,20,4,3,7,7,7,5,7.0,0
RM1225,26,26-35,No,TravelRarely,Research & Development,17,Medical,1,Male,Laboratory Technician,2305,Upto 5k,15,3,3,3,3,2,0,2.0,0
RM1298,26,26-35,Yes,TravelRarely,Human Resources,20,Medical,1,Female,Human Resources,2148,Upto 5k,11,3,3,6,5,1,1,4.0,1
RM1310,26,26-35,No,TravelRarely,Sales,10,Medical,1,Male,Sales Executive,4684,Upto 5k,13,3,1,5,5,3,1,2.0,0
RM1350,26,26-35,No,TravelRarely,Research & Development,1,Life Sciences,1,Female,Research Scientist,2933,Upto 5k,13,3,3,1,1,0,1,0.0,0
RM1362,26,26-35,No,Travel_Frequently,Research & Development,6,Other,1,Male,Laboratory Technician,2544,Upto 5k,18,3,1,8,7,7,7,7.0,0
RM1387,26,26-35,No,TravelRarely,Research & Development,1,Medical,1,Male,Laboratory Technician,2867,Upto 5k,13,3,4,8,7,7,7,6.0,0
RM1465,26,26-35,No,TravelRarely,Sales,5,Other,1,Female,Sales Representative,2966,Upto 5k,18,3,4,5,4,2,0,5.0,0
RM005,27,26-35,No,TravelRarely,Research & Development,2,Medical,1,Male,Laboratory Technician,3468,Upto 5k,12,3,4,6,2,2,2,2.0,0
RM042,27,26-35,No,TravelRarely,Research & Development,2,Life Sciences,1,Female,Laboratory Technician,2341,Upto 5k,13,3,4,1,1,0,0,0.0,0
RM044,27,26-35,No,Travel_Frequently,Sales,8,Life Sciences,1,Male,Sales Executive,8726,5k-10k,15,3,4,9,9,8,1,7.0,0
RM162,27,26-35,No,Non-Travel,Research & Development,9,Medical,1,Male,Research Scientist,2024,Upto 5k,18,3,4,6,2,2,2,2.0,0
RM165,27,26-35,No,Non-Travel,Research & Development,3,Medical,1,Male,Research Scientist,2566,Upto 5k,15,3,4,1,1,1,0,1.0,0
RM171,27,26-35,No,TravelRarely,Research & Development,17,Technical Degree,1,Male,Research Scientist,3058,Upto 5k,16,3,4,6,5,2,1,1.0,0
RM192,27,26-35,No,TravelRarely,Research & Development,9,Medical,1,Female,Research Scientist,2279,Upto 5k,16,3,4,7,7,7,0,3.0,0
RM201,27,26-35,No,Travel_Frequently,Research & Development,1,Technical Degree,1,Male,Manufacturing Director,4298,Upto 5k,19,3,3,6,2,2,2,0.0,0
RM213,27,26-35,No,Travel_Frequently,Sales,20,Life Sciences,1,Female,Sales Executive,9981,5k-10k,14,3,4,7,7,7,0,7.0,0
RM319,27,26-35,No,TravelRarely,Research & Development,5,Life Sciences,1,Female,Research Scientist,2478,Upto 5k,12,3,2,4,4,3,1,2.0,0
RM321,27,26-35,No,TravelRarely,Sales,2,Life Sciences,1,Male,Sales Executive,4478,Upto 5k,11,3,1,5,5,4,0,4.0,0
RM332,27,26-35,No,Non-Travel,Sales,1,Marketing,1,Male,Sales Executive,6349,5k-10k,13,3,4,6,5,4,1,4.0,0
RM340,27,26-35,No,TravelRarely,Sales,8,Marketing,1,Female,Sales Executive,6214,5k-10k,18,3,1,8,8,7,0,7.0,0
RM374,27,26-35,No,TravelRarely,Research & Development,1,Medical,1,Male,Laboratory Technician,3816,Upto 5k,11,3,2,5,5,2,0,4.0,0
RM486,27,26-35,No,TravelRarely,Research & Development,6,Medical,1,Female,Research Scientist,2187,Upto 5k,12,3,3,6,5,3,0,3.0,0
RM496,27,26-35,Yes,TravelRarely,Sales,2,Marketing,1,Male,Sales Representative,3041,Upto 5k,11,3,2,5,4,3,0,2.0,1
RM513,27,26-35,No,TravelRarely,Research & Development,3,Medical,1,Male,Research Scientist,2045,Upto 5k,13,3,4,5,4,2,1,1.0,0
RM522,27,26-35,No,Travel_Frequently,Sales,3,Medical,1,Female,Sales Executive,4647,Upto 5k,20,4,2,6,6,5,0,4.0,0
RM531,27,26-35,No,TravelRarely,Research & Development,1,Life Sciences,1,Female,Manufacturing Director,7412,5k-10k,11,3,4,9,9,7,0,7.0,0
RM538,27,26-35,No,Travel_Frequently,Research & Development,10,Life Sciences,1,Male,Manufacturing Director,8793,5k-10k,21,4,3,9,9,7,1,7.0,0
RM555,27,26-35,No,TravelRarely,Research & Development,7,Medical,1,Female,Healthcare Representative,6811,5k-10k,19,3,1,9,7,6,0,7.0,0
RM577,27,26-35,No,Travel_Frequently,Sales,8,Marketing,1,Male,Sales Executive,4342,Upto 5k,19,3,2,5,4,2,1,1.0,0
RM611,27,26-35,No,TravelRarely,Research & Development,5,Technical Degree,1,Male,Research Director,12808,10k-15k,16,3,2,9,9,8,0,8.0,0
RM616,27,26-35,No,Non-Travel,Research & Development,3,Medical,1,Male,Research Scientist,1706,Upto 5k,11,3,3,0,0,0,0,0.0,0
